127.0.0.1 - - [27/Dec/2023:15:53:14 +0800] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:53:15 +0800] "GET /SA_Project/ HTTP/1.1" 200 16880
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:53:15 +0800] "GET /SA_Project/statics/css/bootstrap.min.css HTTP/1.1" 200 232953
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:53:15 +0800] "GET /SA_Project/statics/js/jquery-3.4.1.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:53:15 +0800] "GET /SA_Project/statics/js/hugo.js HTTP/1.1" 200 1014
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:53:15 +0800] "GET /SA_Project/statics/js/bootstrap.min.js HTTP/1.1" 200 60583
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:53:15 +0800] "GET /SA_Project/statics/css/hugo.css HTTP/1.1" 200 125
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:53:15 +0800] "GET /SA_Project/statics/icons/font/bootstrap-icons.min.css HTTP/1.1" 200 85879
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:53:15 +0800] "GET /SA_Project/statics/icons/font/fonts/bootstrap-icons.woff2?7141511ac37f13e1a387fb9fc6646256 HTTP/1.1" 200 130648
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:53:15 +0800] "GET /SA_Project/api/post.do?_=1703663595568 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:53:15 +0800] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:21 +0800] "GET /SA_Project/api/post.do?_=1703663840802 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:21 +0800] "GET /SA_Project/filepath/notebook.pdf HTTP/1.1" 200 4795
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:21 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:21 +0800] "GET /SA_Project/filepath/sanote1_1.png HTTP/1.1" 200 70687
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:21 +0800] "GET /SA_Project/filepath/accounting2_1.png HTTP/1.1" 200 537751
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:21 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 200 4505365
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:23 +0800] "GET /SA_Project/index.html HTTP/1.1" 200 16880
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:23 +0800] "GET /SA_Project/api/post.do?_=1703663843961 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:24 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:24 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:26 +0800] "GET /SA_Project/api/post.do?_=1703663846725 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:26 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:26 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:26 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 2604821
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:27 +0800] "GET /SA_Project/api/post.do?_=1703663847302 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:27 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:27 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:28 +0800] "GET /SA_Project/login.html HTTP/1.1" 200 6457
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:28 +0800] "GET /SA_Project/statics/js/bootstrap.bundle.min.js HTTP/1.1" 200 80669
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:31 +0800] "GET /SA_Project/register.html HTTP/1.1" 200 7139
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:57:57 +0800] "POST /SA_Project/api/register.do HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:01 +0800] "POST /SA_Project/api/login.do HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:02 +0800] "GET /SA_Project/api/post.do?_=1703663882006 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:02 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:02 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:07 +0800] "GET /SA_Project/api/post.do?_=1703663887025 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:07 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:07 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:10 +0800] "POST /SA_Project/api/login.do HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:10 +0800] "GET /SA_Project/api/post.do?_=1703663890484 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:10 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:10 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:10 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 2604821
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:11 +0800] "GET /SA_Project/api/post.do?post_id=10&_=1703663890485 HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:16 +0800] "GET /SA_Project/api/post.do?post_id=1&_=1703663890486 HTTP/1.1" 200 776
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:16 +0800] "GET /SA_Project/filepath/sanote1_2.png HTTP/1.1" 200 132103
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:16 +0800] "GET /SA_Project/filepath/sanote1_3.png HTTP/1.1" 200 88014
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:47 +0800] "GET /SA_Project/api/post.do?_=1703663927680 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:47 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:47 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:51 +0800] "POST /SA_Project/api/login.do HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:51 +0800] "GET /SA_Project/api/post.do?_=1703663931491 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:51 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:51 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:59 +0800] "GET /SA_Project/member.html HTTP/1.1" 200 36908
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:59 +0800] "GET /SA_Project/api/member.do?member_id=5&_=1703663939788 HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:59 +0800] "GET /SA_Project/api/post.do?member_id=5&_=1703663939789 HTTP/1.1" 200 78
0:0:0:0:0:0:0:1 - - [27/Dec/2023:15:58:59 +0800] "GET /SA_Project/img/initial.png HTTP/1.1" 200 168337
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:03:45 +0800] "GET /SA_Project/api/post.do?_=1703664225132 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:03:45 +0800] "GET /SA_Project/filepath/algorithm2_1.pdf HTTP/1.1" 206 1
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:03:45 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:03:55 +0800] "GET /SA_Project/index.html HTTP/1.1" 200 18452
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:03:55 +0800] "GET /SA_Project/api/post.do?_=1703664235888 HTTP/1.1" 200 4644
0:0:0:0:0:0:0:1 - - [27/Dec/2023:16:03:55 +0800] "GET /SA_Project/filepath/linear_algebra3_1.pptx HTTP/1.1" 404 801
